ID,Accent,Style 1,Style 2,Description,Category,Has Pair,Script Written,Recorded,Uploaded,Voice123 Tag 1,Voice123 Tag 2,Voice123 Upload Name,Script Filename
Commercial_12_British,General British,Conversational,Clear,Same script as Commercial_24_Australian,Commercial,Yes,False,False,False,Advertisement,Promo,Retail or telco ad (UK),Commercial_12.txt
Commercial_12_American,General American,Conversational,Clear,Same script as Commercial_24_Australian,Commercial,Yes,False,False,False,Advertisement,Promo,Retail or telco ad (US),Commercial_12.txt
Commercial_13_Scottish,General Scottish,Friendly,Educational,Tourism ad – welcoming and informative,Commercial,Yes,False,False,False,Advertisement,Promo,Tourism ad (Scotland),Commercial_13.txt
Commercial_13_British,General British,Friendly,Educational,Tourism ad – welcoming and informative,Commercial,Yes,False,False,False,Advertisement,Promo,Tourism ad (UK),Commercial_13.txt
Commercial_13_American,General American,Friendly,Educational,Tourism ad – welcoming and informative,Commercial,Yes,False,False,False,Advertisement,Promo,Tourism ad (US),Commercial_13.txt
Commercial_14_American,General American,Explainer,Animated,Startup explainer with playful energy,Commercial,Yes,False,False,False,Advertisement,Promo,Startup explainer with playful energy (US),Commercial_14.txt
Commercial_14_British,General British,Explainer,Animated,Same script as Commercial_30_GenAm,Commercial,Yes,False,False,False,Advertisement,Promo,Startup explainer with playful energy (UK),Commercial_14.txt
Commercial_15_British,General British,Aged,Authentic,Voice of experience – legacy charity or traditional product,Commercial,Yes,False,False,False,Advertisement,Promo,Voice of experience (UK),Commercial_15.txt
Commercial_15_American,General American,Aged,Authentic,Voice of experience – legacy charity or traditional product,Commercial,Yes,False,False,False,Advertisement,Promo,Voice of experience (US),Commercial_15.txt
Commercial_16_American,General American,Energetic,Professional,"Dynamic B2B ad – modern, sharp delivery",Commercial,Yes,False,False,False,Advertisement,Promo,Dynamic b2b ad (US),Commercial_16.txt
Commercial_16_British,General British,Energetic,Professional,Same script as Commercial_34_GenAm,Commercial,Yes,False,False,False,Advertisement,Promo,Dynamic b2b ad (UK),Commercial_16.txt
Commercial_17_Scottish,General Scottish,Conversational,Confident,"Finance or insurance – calm, no-nonsense",Commercial,Yes,False,False,False,Advertisement,Promo,Finance or insurance (Scotland),Commercial_17.txt
Commercial_17_British,General British,Conversational,Confident,Same script as Commercial_36_Scottish,Commercial,Yes,False,False,False,Advertisement,Promo,Finance or insurance (UK),Commercial_17.txt
Commercial_17_American,General American,Conversational,Confident,Same script as Commercial_36_Scottish,Commercial,Yes,False,False,False,Advertisement,Promo,Finance or insurance (US),Commercial_17.txt
Commercial_18_Australian,General Australian,Playful,Funny,Ad with light sarcasm – snacks or novelty brand,Commercial,Yes,False,False,False,Advertisement,Promo,with light sarcasm (Australia),Commercial_18.txt
Commercial_18_American,General American,Playful,Funny,Same script as Commercial_39_Australian,Commercial,Yes,False,False,False,Advertisement,Promo,with light sarcasm (US),Commercial_18.txt
Narration_19_British,General British,Educational,Clear,Museum tour narration – formal but friendly,Narration,Yes,False,False,False,Documentary,Video narration,Museum tour narration (UK),Narration_19.txt
Narration_19_American,General American,Educational,Clear,Same script as Narration_01_GenBr,Narration,Yes,False,False,False,E-learning,Online courses,Museum tour narration (US),Narration_19.txt
Narration_20_British,General British,Informative,Authentic,"BBC-style documentary – warm, natural delivery",Narration,Yes,False,False,False,Documentary,Video narration,Bbc-style documentary (UK),Narration_20.txt
Narration_20_American,General American,Informative,Authentic,Same script as Narration_03_GenBr,Narration,Yes,False,False,False,Corporate training,E-learning,Bbc-style documentary (US),Narration_20.txt
Narration_21_Scottish,General Scottish,Corporate,Clear,Internal company video or induction training,Narration,No,False,False,False,Documentary,Video narration,Internal company video or induction training (Scotland),Narration_21.txt
Narration_22_Australian,General Australian,Professional,Confident,E-learning or instructional course,Narration,No,False,False,False,Medical narration,Corporate training,E-learning or instructional course (Australia),Narration_22.txt
Narration_23_British,General British,Natural,Educational,Health explainer with calm authority,Narration,Yes,False,False,False,Documentary,Video narration,Health explainer with calm authority (UK),Narration_23.txt
Narration_23_American,General American,Natural,Educational,Same script as Narration_07_GenBr,Narration,Yes,False,False,False,Online courses,E-learning,Health explainer with calm authority (US),Narration_23.txt
Narration_24_British,General British,Friendly,Professional,Public information voice – clear and inviting,Narration,Yes,False,False,False,Documentary,Video narration,Public information voice (UK),Narration_24.txt
Narration_24_American,General American,Friendly,Professional,Same script as Narration_09_GenBr,Narration,Yes,False,False,False,Film and TV,Video narration,Public information voice (US),Narration_24.txt
Narration_25_British,General British,Informative,Educational,Documentary style – wildlife or science focus,Narration,Yes,False,False,False,Animation,Character voice,Documentary style (UK),Narration_25.txt
Narration_19_American,General American,Informative,Educational,Same script as Narration_01_GenBr,Narration,Yes,False,False,False,Animation,Character voice,Museum tour narration (US),Narration_19.txt
Narration_26_British,General British,Authoritative,Clear,Historical documentary or museum audio guide,Narration,Yes,False,False,False,Animation,Character voice,Historical documentary or museum audio guide (UK),Narration_26.txt
Narration_20_American,General American,Authoritative,Clear,Same script as Narration_03_GenBr,Narration,Yes,False,False,False,Animation,Character voice,Bbc-style documentary (US),Narration_20.txt
Narration_27_Scottish,General Scottish,Professional,Educational,Corporate explainer with a Scottish twist,Narration,Yes,False,False,False,Animation,Character voice,Corporate explainer with a scottish twist (Scotland),Narration_27.txt
Narration_21_British,General British,Professional,Educational,Same script as Narration_05_Scottish,Narration,Yes,False,False,False,Animation,Character voice,Internal company video or induction training (UK),Narration_21.txt
Narration_21_American,General American,Professional,Educational,Same script as Narration_05_Scottish,Narration,Yes,False,False,False,Animation,Character voice,Internal company video or induction training (US),Narration_21.txt
Narration_28_Australian,General Australian,Natural,Confident,Tourism board – natural tone with clear structure,Narration,Yes,False,False,False,Animation,Character voice,Tourism board (Australia),Narration_28.txt
Narration_28_British,General British,Natural,Confident,Same script as Narration_08_Australian,Narration,Yes,False,False,False,Animation,Character voice,Tourism board (UK),Narration_28.txt
Narration_28_American,General American,Natural,Confident,Same script as Narration_08_Australian,Narration,Yes,False,False,False,Animation,Character voice,Tourism board (US),Narration_28.txt
Character_29_French,French,Animated,Playful,Stylised character voice with French accent – comedic villain or eccentric role,Character/Animation,No,False,False,False,Animation,Character voice,Stylised character voice with french accent (France),Character_29.txt
Character_30_Irish,Irish,Dramatic,Authentic,Folklore-inspired dialogue or mystical character,Character/Animation,No,False,False,False,Animation,Character voice,Folklore-inspired dialogue or mystical character (Ireland),Character_30.txt
Character_31_Welsh,Welsh,Friendly,Natural,Whimsical forest or bard character – light and inviting,Character/Animation,No,False,False,False,Animation,Character voice,Whimsical forest or bard character (Wales),Character_31.txt
Character_32_European,Eastern European,Deep,Mysterious,"Dark, enigmatic character or advisor role",Character/Animation,No,False,False,False,Animation,Character voice,"Dark, enigmatic character or advisor role (EE)",Character_32.txt
Character_33_Voice,Character Voice,Friendly,Aged,"Soft, warm, thoughtful – Winnie-the-Pooh-style voice",Character/Animation,No,False,False,False,Animation,Character voice,"Soft, warm, thoughtful",Character_33.txt
Character_34_Voice,Character Voice,Animated,Nervous,"High-pitched, timid delivery – Piglet-style voice",Character/Animation,No,False,False,False,Animation,Character voice,"High-pitched, timid delivery",Character_34.txt
Character_35_Voice,Character Voice,Authoritative,Professional,Well-spoken and slightly pompous – Owl-style voice,Character/Animation,No,False,False,False,Animation,Character voice,Well-spoken and slightly pompous,Character_35.txt
Character_36_Voice,Character Voice,Natural,Playful,"Innocent, curious young boy voice",Character/Animation,No,False,False,False,Animation,Character voice,"Innocent, curious young boy voice",Character_36.txt
Character_37_Country,West Country,Deep,Friendly,Loyal and hearty – West Country dog character,Character/Animation,No,False,False,False,Animation,Character voice,Loyal and hearty (West Country),Character_37.txt
Character_38_Voice,Character Voice,Dramatic,Deep,"Ancient, powerful dragon voice – slow and resonant",Character/Animation,No,False,False,False,Animation,Character voice,"Ancient, powerful dragon voice",Character_38.txt
Character_39_Voice,Character Voice,Deep,Authoritative,"Gravelly, blunt, battle-ready – classic orc voice",Character/Animation,No,False,False,False,Animation,Character voice,"Gravelly, blunt, battle-ready",Character_39.txt
Character_40_Voice,Character Voice,Sibilant,Creepy,"Hissing, unsettling – reptilian humanoid character",Character/Animation,No,False,False,False,Animation,Character voice,"Hissing, unsettling",Character_40.txt
Character_41_Voice,Character Voice,Mechanical,Clear,"Calm, modulated robot voice – synthetic and clear",Character/Animation,No,False,False,False,Animation,Character voice,"Calm, modulated robot voice",Character_41.txt
Character_42_Voice,Character Voice,Mysterious,Detached,Otherworldly and cool-toned – intelligent alien,Character/Animation,No,False,False,False,Animation,Character voice,Otherworldly and cool-toned,Character_42.txt
Character_43_Voice,Character Voice,Authoritative,Clipped,"Strict, precise – British military officer style",Character/Animation,No,False,False,False,Animation,Character voice,"Strict, precise",Character_43.txt
Character_44_Voice,Character Voice,Stupid,Funny,"Thick-accented, dim-witted guard – comic relief",Character/Animation,No,False,False,False,Animation,Character voice,"Thick-accented, dim-witted guard",Character_44.txt
Character_45_Voice,Character Voice,Miserable,Resigned,Worn-down and world-weary – tired lower-class character,Character/Animation,No,False,False,False,Animation,Character voice,Worn-down and world-weary,Character_45.txt
Character_46_Voice,Character Voice,Posh,Lisping,Snooty aristocrat with a lisp – exaggerated and playful,Character/Animation,No,False,False,False,Animation,Character voice,Snooty aristocrat with a lisp,Character_46.txt
